epoch;loss;val_loss
0;0.0008487481973133981;0.000171469830092974
1;0.00016105537360999733;8.177942072506994e-05
2;0.00011942280252696946;6.265784031711519e-05
3;9.951363608706743e-05;6.429435597965494e-05
4;9.420423157280311e-05;7.238621037686244e-05
5;8.482366683892906e-05;8.484342106385157e-05
6;7.733490929240361e-05;3.2381787605118006e-05
7;7.24957135389559e-05;4.081243241671473e-05
8;7.101130177034065e-05;2.8247994123375975e-05
9;6.92874236847274e-05;1.660712769080419e-05
10;6.411405774997547e-05;3.6390814784681424e-05
11;5.9532703744480386e-05;7.84938019933179e-05
12;6.005959221511148e-05;9.587473323335871e-05
13;5.6423705245833844e-05;4.47976344730705e-05
14;5.538130790228024e-05;5.037007213104516e-05
15;5.175518163014203e-05;4.804281343240291e-05
16;5.178295759833418e-05;2.2289619664661586e-05
17;4.880545020569116e-05;2.5350460418849252e-05
18;4.788476144312881e-05;3.066946374019608e-05
19;4.685393287218176e-05;1.638520734559279e-05
20;4.527066630544141e-05;3.6842928238911554e-05
21;4.314105535740964e-05;1.5173182873695623e-05
22;4.351896859589033e-05;9.386824240209535e-05
23;4.1691757360240445e-05;7.455792365362868e-05
24;4.004938091384247e-05;2.7678861442836933e-05
25;3.893488974426873e-05;3.891265077982098e-05
26;3.917908907169476e-05;4.041311694891192e-05
27;3.8197027606656775e-05;2.057460915239062e-05
28;3.762553751585074e-05;4.953633833792992e-05
29;3.725515853147954e-05;6.868960917927325e-05
30;3.609463601605967e-05;3.070200182264671e-05
31;3.5493390896590427e-05;3.870776345138438e-05
32;3.5122462577419356e-05;1.103352497011656e-05
33;3.4255590435350314e-05;2.8449167075450532e-05
34;3.3255419111810625e-05;3.0751965823583305e-05
35;3.320392715977505e-05;1.4186166481522378e-05
36;3.350449333083816e-05;3.160983033012599e-05
37;3.146542076137848e-05;2.0534653231152333e-05
38;3.176810423610732e-05;2.7009595214622095e-05
39;3.095160718658008e-05;1.3531504009733908e-05
40;3.0073475500103086e-05;1.7963997379411012e-05
41;2.9926161005278118e-05;3.895378176821396e-05
42;2.8525661036837846e-05;3.08957532979548e-05
43;2.922714156738948e-05;2.154439061996527e-05
44;2.9835415261914022e-05;1.3927567124483176e-05
45;2.834785482264124e-05;1.7981716155190952e-05
46;2.821562702592928e-05;2.4419476176262833e-05
47;2.748167753452435e-05;1.9941380742238835e-05
