ID,BRAIN_QUANTITY
IXI002-Guys-0828-T1_0,0.0
IXI002-Guys-0828-T1_1,0.0
IXI002-Guys-0828-T1_2,0.0
IXI002-Guys-0828-T1_3,0.0
IXI002-Guys-0828-T1_4,0.0
IXI002-Guys-0828-T1_5,0.0
IXI002-Guys-0828-T1_6,0.0
IXI002-Guys-0828-T1_7,0.0
IXI002-Guys-0828-T1_8,0.0
IXI002-Guys-0828-T1_9,0.0
IXI002-Guys-0828-T1_10,0.0
IXI002-Guys-0828-T1_11,0.0
IXI002-Guys-0828-T1_12,0.0
IXI002-Guys-0828-T1_13,0.0
IXI002-Guys-0828-T1_14,0.0
IXI002-Guys-0828-T1_15,0.0
IXI002-Guys-0828-T1_16,82.0
IXI002-Guys-0828-T1_17,433.0
IXI002-Guys-0828-T1_18,830.0
IXI002-Guys-0828-T1_19,1312.0
IXI002-Guys-0828-T1_20,1879.0
IXI002-Guys-0828-T1_21,2399.0
IXI002-Guys-0828-T1_22,3033.0
IXI002-Guys-0828-T1_23,3542.0
IXI002-Guys-0828-T1_24,3981.0
IXI002-Guys-0828-T1_25,4420.0
IXI002-Guys-0828-T1_26,4988.0
IXI002-Guys-0828-T1_27,5662.0
IXI002-Guys-0828-T1_28,6229.0
IXI002-Guys-0828-T1_29,6810.0
IXI002-Guys-0828-T1_30,7311.0
IXI002-Guys-0828-T1_31,7802.0
IXI002-Guys-0828-T1_32,8354.0
IXI002-Guys-0828-T1_33,8889.0
IXI002-Guys-0828-T1_34,9383.0
IXI002-Guys-0828-T1_35,9857.0
IXI002-Guys-0828-T1_36,10295.0
IXI002-Guys-0828-T1_37,10718.0
IXI002-Guys-0828-T1_38,11139.0
IXI002-Guys-0828-T1_39,11517.0
IXI002-Guys-0828-T1_40,11868.0
IXI002-Guys-0828-T1_41,12259.0
IXI002-Guys-0828-T1_42,12623.0
IXI002-Guys-0828-T1_43,12954.0
IXI002-Guys-0828-T1_44,13250.0
IXI002-Guys-0828-T1_45,13555.0
IXI002-Guys-0828-T1_46,13776.0
IXI002-Guys-0828-T1_47,13989.0
IXI002-Guys-0828-T1_48,14215.0
IXI002-Guys-0828-T1_49,14378.0
IXI002-Guys-0828-T1_50,14549.0
IXI002-Guys-0828-T1_51,14680.0
IXI002-Guys-0828-T1_52,14798.0
IXI002-Guys-0828-T1_53,14917.0
IXI002-Guys-0828-T1_54,15031.0
IXI002-Guys-0828-T1_55,15136.0
IXI002-Guys-0828-T1_56,15228.0
IXI002-Guys-0828-T1_57,15316.0
IXI002-Guys-0828-T1_58,15416.0
IXI002-Guys-0828-T1_59,15510.0
IXI002-Guys-0828-T1_60,15575.0
IXI002-Guys-0828-T1_61,15676.0
IXI002-Guys-0828-T1_62,15827.0
IXI002-Guys-0828-T1_63,15976.0
IXI002-Guys-0828-T1_64,16083.0
IXI002-Guys-0828-T1_65,16182.0
IXI002-Guys-0828-T1_66,16230.0
IXI002-Guys-0828-T1_67,16243.0
IXI002-Guys-0828-T1_68,16201.0
IXI002-Guys-0828-T1_69,16162.0
IXI002-Guys-0828-T1_70,16015.0
IXI002-Guys-0828-T1_71,15893.0
IXI002-Guys-0828-T1_72,15716.0
IXI002-Guys-0828-T1_73,15493.0
IXI002-Guys-0828-T1_74,15445.0
IXI002-Guys-0828-T1_75,15481.0
IXI002-Guys-0828-T1_76,15600.0
IXI002-Guys-0828-T1_77,15630.0
IXI002-Guys-0828-T1_78,15687.0
IXI002-Guys-0828-T1_79,15766.0
IXI002-Guys-0828-T1_80,15825.0
IXI002-Guys-0828-T1_81,15895.0
IXI002-Guys-0828-T1_82,15925.0
IXI002-Guys-0828-T1_83,15934.0
IXI002-Guys-0828-T1_84,15906.0
IXI002-Guys-0828-T1_85,15873.0
IXI002-Guys-0828-T1_86,15864.0
IXI002-Guys-0828-T1_87,15861.0
IXI002-Guys-0828-T1_88,15913.0
IXI002-Guys-0828-T1_89,15857.0
IXI002-Guys-0828-T1_90,15829.0
IXI002-Guys-0828-T1_91,15764.0
IXI002-Guys-0828-T1_92,15693.0
IXI002-Guys-0828-T1_93,15583.0
IXI002-Guys-0828-T1_94,15446.0
IXI002-Guys-0828-T1_95,15296.0
IXI002-Guys-0828-T1_96,15185.0
IXI002-Guys-0828-T1_97,15093.0
IXI002-Guys-0828-T1_98,14967.0
IXI002-Guys-0828-T1_99,14828.0
IXI002-Guys-0828-T1_100,14657.0
IXI002-Guys-0828-T1_101,14428.0
IXI002-Guys-0828-T1_102,14209.0
IXI002-Guys-0828-T1_103,13961.0
IXI002-Guys-0828-T1_104,13709.0
IXI002-Guys-0828-T1_105,13441.0
IXI002-Guys-0828-T1_106,13139.0
IXI002-Guys-0828-T1_107,12835.0
IXI002-Guys-0828-T1_108,12484.0
IXI002-Guys-0828-T1_109,12121.0
IXI002-Guys-0828-T1_110,11753.0
IXI002-Guys-0828-T1_111,11340.0
IXI002-Guys-0828-T1_112,10909.0
IXI002-Guys-0828-T1_113,10461.0
IXI002-Guys-0828-T1_114,9956.0
IXI002-Guys-0828-T1_115,9446.0
IXI002-Guys-0828-T1_116,8917.0
IXI002-Guys-0828-T1_117,8388.0
IXI002-Guys-0828-T1_118,7852.0
IXI002-Guys-0828-T1_119,7369.0
IXI002-Guys-0828-T1_120,6905.0
IXI002-Guys-0828-T1_121,6392.0
IXI002-Guys-0828-T1_122,5861.0
IXI002-Guys-0828-T1_123,5281.0
IXI002-Guys-0828-T1_124,4755.0
IXI002-Guys-0828-T1_125,4164.0
IXI002-Guys-0828-T1_126,3678.0
IXI002-Guys-0828-T1_127,3177.0
IXI002-Guys-0828-T1_128,2668.0
IXI002-Guys-0828-T1_129,2112.0
IXI002-Guys-0828-T1_130,1311.0
IXI002-Guys-0828-T1_131,334.0
IXI002-Guys-0828-T1_132,0.0
IXI002-Guys-0828-T1_133,0.0
IXI002-Guys-0828-T1_134,0.0
